valid_time,latitude,longitude,tp,u10,v10,t2m,slt,swvl1,swvl2,swvl3,swvl4,lai_hv,lai_lv,site_id
2003-01-01,51.80342,-0.372683,0.0022201538,2.2657242,-0.03958893,277.57568,4.0,0.43894106,0.44265646,0.45859897,0.45013428,2.173706,2.1306152,site_1
2003-02-01,51.80342,-0.372683,0.0012130737,-0.42180157,0.9159298,277.13452,4.0,0.43243802,0.4376378,0.44313395,0.45280457,2.0916748,1.9171143,site_1
2003-03-01,51.80342,-0.372683,0.0006542206,-0.014662743,0.8241329,280.6504,4.0,0.39249837,0.40266436,0.4188249,0.45011902,2.131836,2.0184326,site_1
2003-04-01,51.80342,-0.372683,0.0009880066,-0.86975956,0.10528469,282.6438,4.0,0.31040156,0.307957,0.36023206,0.4423828,2.253296,2.3707275,site_1
2003-05-01,51.80342,-0.372683,0.0017776489,2.2604952,2.0866308,285.56836,4.0,0.35082358,0.3138858,0.33896226,0.4320221,2.3829346,2.7816162,site_1
2003-06-01,51.80342,-0.372683,0.0032348633,0.8693609,1.4062042,289.68066,4.0,0.37115675,0.3507033,0.32499892,0.42297363,2.3898926,2.7867432,site_1
2003-07-01,51.80342,-0.372683,0.002275467,1.4848785,1.3186903,291.00952,4.0,0.3515827,0.3300925,0.31445175,0.41435242,2.2663574,2.3173828,site_1
2003-08-01,51.80342,-0.372683,0.00045585632,-0.1494379,-0.62217903,292.2119,4.0,0.2802577,0.30776727,0.30135083,0.40585327,2.1921387,2.0488281,site_1
2003-09-01,51.80342,-0.372683,0.0005455017,0.63464546,0.57493305,287.91284,4.0,0.27073348,0.26275748,0.2986728,0.39924622,2.1564941,1.9645996,site_1
2003-10-01,51.80342,-0.372683,0.0011634827,-0.11065483,-1.3822308,282.43872,4.0,0.31124395,0.27337533,0.3030278,0.39445496,2.1420898,1.9381104,site_1
2003-11-01,51.80342,-0.372683,0.0035533905,0.8131046,1.7876129,281.65552,4.0,0.41758043,0.3984216,0.32631403,0.3910675,2.171875,2.0766602,site_1
2003-12-01,51.80342,-0.372683,0.001745224,1.0103769,0.22315693,278.44165,4.0,0.4450587,0.44658726,0.42279,0.39231873,2.184204,2.1381836,site_1
2004-01-01,51.80342,-0.372683,0.002714157,3.0381336,1.0195732,278.52344,4.0,0.45487565,0.45807672,0.45241797,0.40686035,2.173706,2.1306152,site_1
2004-02-01,51.80342,-0.372683,0.0011024475,1.8294792,-0.8872738,278.56226,4.0,0.43394232,0.4380142,0.4491228,0.4255829,2.0916748,1.916748,site_1
2004-03-01,51.80342,-0.372683,0.0015525818,1.10046,0.5630293,279.5193,4.0,0.429322,0.4281503,0.43426526,0.43074036,2.131958,2.0187988,site_1
2004-04-01,51.80342,-0.372683,0.0027637482,0.6809473,0.41062546,282.60474,4.0,0.43365723,0.43349606,0.4292531,0.43041992,2.253296,2.3707275,site_1
2004-05-01,51.80342,-0.372683,0.0018386841,0.44131088,-0.6106787,285.5227,4.0,0.4086725,0.4133954,0.43199605,0.431015,2.3829346,2.7816162,site_1
2004-06-01,51.80342,-0.372683,0.00157547,2.6602201,0.3027687,289.14917,4.0,0.33455765,0.32926792,0.37662846,0.42765808,2.3898926,2.7867432,site_1
2004-07-01,51.80342,-0.372683,0.002243042,1.7205591,0.4126253,289.56567,4.0,0.38517535,0.37547374,0.35404783,0.42112732,2.2663574,2.3173828,site_1
2004-08-01,51.80342,-0.372683,0.004131317,0.9927912,1.4421597,291.00098,4.0,0.3949737,0.38718367,0.33164865,0.41435242,2.1921387,2.0488281,site_1
2004-09-01,51.80342,-0.372683,0.0010795593,2.1935387,0.9512024,288.2661,4.0,0.356951,0.34708625,0.32658643,0.40881348,2.1564941,1.9645996,site_1
2004-10-01,51.80342,-0.372683,0.0021018982,0.6081753,2.2361012,284.09155,4.0,0.4110614,0.3905596,0.32334775,0.39970398,2.1420898,1.9381104,site_1
2004-11-01,51.80342,-0.372683,0.0014781952,1.766366,-0.5878391,280.9143,4.0,0.42228335,0.4169882,0.35794842,0.39730835,2.171875,2.0766602,site_1
2004-12-01,51.80342,-0.372683,0.0010242462,2.2037992,0.680563,278.5332,4.0,0.42124027,0.41984195,0.38825274,0.3965912,2.184204,2.1381836,site_1
2005-01-01,51.80342,-0.372683,0.0008983612,3.3724546,0.6972027,279.1836,4.0,0.4239056,0.4216532,0.40676743,0.39701843,2.173706,2.1306152,site_1
2005-02-01,51.80342,-0.372683,0.0010681152,1.1394901,-1.7945871,277.1455,4.0,0.42350864,0.42206883,0.41164136,0.39831543,2.0916748,1.9171143,site_1
2005-03-01,51.80342,-0.372683,0.0015678406,0.8686905,-0.28404617,280.10718,4.0,0.4123162,0.40923452,0.40978718,0.39953613,2.131836,2.0184326,site_1
2005-04-01,51.80342,-0.372683,0.0021572113,0.76831627,0.9731159,282.3689,4.0,0.433577,0.42968148,0.40659314,0.3995819,2.253296,2.3707275,site_1
2005-05-01,51.80342,-0.372683,0.0012054443,1.123518,0.56072235,284.87158,4.0,0.37536877,0.37545282,0.3915617,0.39891052,2.3829346,2.7816162,site_1
2005-06-01,51.80342,-0.372683,0.0022659302,0.7448797,0.48194218,289.3003,4.0,0.3238821,0.30717093,0.34852278,0.39567566,2.3898926,2.7867432,site_1
2005-07-01,51.80342,-0.372683,0.0024719238,1.200613,-0.35122204,290.12842,4.0,0.35707617,0.34915274,0.32469732,0.39082336,2.2663574,2.3173828,site_1
2005-08-01,51.80342,-0.372683,0.0018539429,1.650217,-0.33087158,289.6848,4.0,0.38821197,0.3776372,0.31949574,0.3866577,2.1921387,2.0488281,site_1
2005-09-01,51.80342,-0.372683,0.001991272,1.1486387,0.82159615,288.69995,4.0,0.38269007,0.3620696,0.30679208,0.3828888,2.1564941,1.9645996,site_1
2005-10-01,51.80342,-0.372683,0.0019798279,0.063381195,1.9795847,286.56738,4.0,0.4125179,0.40173298,0.33492815,0.3814087,2.1420898,1.9381104,site_1
2005-11-01,51.80342,-0.372683,0.0010814667,2.3656178,0.56185436,279.33447,4.0,0.42108542,0.41975433,0.3831843,0.38078308,2.171875,2.0766602,site_1
2005-12-01,51.80342,-0.372683,0.00096416473,1.6309729,-0.06509209,277.64722,4.0,0.42353684,0.41905695,0.39732516,0.38153076,2.184204,2.1381836,site_1
2006-01-01,51.80342,-0.372683,0.0006580353,-0.2775612,0.015961647,277.5315,4.0,0.4251793,0.4250329,0.40748405,0.3834381,2.173706,2.1306152,site_1
2006-02-01,51.80342,-0.372683,0.0016555786,0.700593,-1.2516842,276.86548,4.0,0.42964345,0.43026537,0.42008537,0.38671875,2.0916748,1.9171143,site_1
2006-03-01,51.80342,-0.372683,0.0017528534,0.5832548,0.8258085,277.93433,4.0,0.43137336,0.4315312,0.42989594,0.3934784,2.131836,2.0184326,site_1
2006-04-01,51.80342,-0.372683,0.0013656616,2.1455564,0.10374069,281.90967,4.0,0.41965884,0.41950637,0.41907263,0.39805603,2.253296,2.3707275,site_1
2006-05-01,51.80342,-0.372683,0.003528595,1.722271,1.1215343,285.7129,4.0,0.42824912,0.42106724,0.4007042,0.39834595,2.3829346,2.7816162,site_1
2006-06-01,51.80342,-0.372683,0.0010948181,0.053913116,0.36074066,289.84717,4.0,0.34009117,0.3449608,0.38251758,0.3973236,2.3898926,2.7867432,site_1
2006-07-01,51.80342,-0.372683,0.0023441315,0.09329128,0.7986059,293.6316,4.0,0.3069226,0.2689299,0.3143106,0.39193726,2.2663574,2.3173828,site_1
2006-08-01,51.80342,-0.372683,0.0026187897,2.417923,-1.0302877,289.5984,4.0,0.3688708,0.33084565,0.2973339,0.38586426,2.1921387,2.0488281,site_1
2006-09-01,51.80342,-0.372683,0.001701355,0.90864563,1.6800652,290.39307,4.0,0.356874,0.34105176,0.299572,0.38180542,2.1564941,1.9645996,site_1
2006-10-01,51.80342,-0.372683,0.0019111633,1.1644135,2.2099314,286.5559,4.0,0.42013305,0.40688705,0.31633228,0.3784027,2.1420898,1.9381104,site_1
2006-11-01,51.80342,-0.372683,0.0023651123,2.5883493,2.4801083,281.53223,4.0,0.43113673,0.42657012,0.36689025,0.3774414,2.171875,2.0766602,site_1
2006-12-01,51.80342,-0.372683,0.0017719269,2.581071,2.7408943,279.87476,4.0,0.44400233,0.4454469,0.4314754,0.38250732,2.184204,2.1381836,site_1
2007-01-01,51.80342,-0.372683,0.001991272,4.376295,1.6802063,280.35962,4.0,0.44408768,0.44921678,0.44615668,0.39613342,2.173706,2.1306152,site_1
2007-02-01,51.80342,-0.372683,0.0027570724,1.0390368,1.3628511,279.30908,4.0,0.4444062,0.44593555,0.44705725,0.41085815,2.0916748,1.9171143,site_1
2007-03-01,51.80342,-0.372683,0.0015201569,1.717288,-0.5737934,280.40063,4.0,0.4194244,0.42519343,0.4487391,0.42974854,2.131836,2.0184326,site_1
2007-04-01,51.80342,-0.372683,0.00019454956,-0.6515789,-1.4672871,284.77124,4.0,0.31074327,0.3362124,0.39398378,0.43086243,2.253296,2.3707275,site_1
2007-05-01,51.80342,-0.372683,0.0041599274,1.2802095,0.037218094,285.4995,4.0,0.3836202,0.37238383,0.36849838,0.42462158,2.3829346,2.7816162,site_1
2007-06-01,51.80342,-0.372683,0.0039596558,0.48531246,0.6161976,288.55127,4.0,0.42952406,0.42635036,0.38955742,0.42004395,2.3898926,2.7867432,site_1
2007-07-01,51.80342,-0.372683,0.0035762787,2.6992798,1.4876499,289.04956,4.0,0.435457,0.4357596,0.42164022,0.41809082,2.2663574,2.3173828,site_1
2007-08-01,51.80342,-0.372683,0.0011081696,1.4602041,-0.533206,289.30737,4.0,0.35976243,0.36182553,0.39513314,0.416687,2.1921387,2.0488281,site_1
2007-09-01,51.80342,-0.372683,0.0008163452,1.9633636,-0.66588974,287.52026,4.0,0.31477982,0.31822228,0.36037987,0.41305542,2.1564941,1.9645996,site_1
2007-10-01,51.80342,-0.372683,0.0016460419,0.04785061,-0.06170273,284.0432,4.0,0.40309566,0.39162797,0.3648069,0.40956116,2.1420898,1.9381104,site_1
2007-11-01,51.80342,-0.372683,0.0014076233,2.0961409,-0.24734211,280.50488,4.0,0.40821648,0.40287566,0.3783788,0.40779114,2.171875,2.0766602,site_1
2007-12-01,51.80342,-0.372683,0.0013246536,1.9735098,1.37533,278.44385,4.0,0.44134086,0.44286966,0.4231006,0.40873718,2.184204,2.1381836,site_1
2008-01-01,51.80342,-0.372683,0.0023708344,3.2161875,3.21486,280.1455,4.0,0.4451654,0.44942564,0.4511649,0.42193604,2.173706,2.1306152,site_1
2008-02-01,51.80342,-0.372683,0.00063323975,1.1853304,1.6755133,278.60254,4.0,0.4174018,0.42179656,0.44030023,0.43510437,2.0916748,1.916748,site_1
2008-03-01,51.80342,-0.372683,0.002822876,3.0737543,0.04981613,279.44238,4.0,0.43258327,0.43141925,0.4288079,0.43533325,2.131958,2.0187988,site_1
2008-04-01,51.80342,-0.372683,0.0021715164,0.6164837,0.30646133,281.4419,4.0,0.43366122,0.4316677,0.43388623,0.43611145,2.253296,2.3707275,site_1
2008-05-01,51.80342,-0.372683,0.002500534,-2.4751215,-1.0999508,286.88696,4.0,0.3832733,0.38353932,0.39733595,0.43315125,2.3829346,2.7816162,site_1
